const_code,region_code,percent_leave,percent_remain
E14000640,E12000002,0.422757087,0.577242913
S14000028,S92000003,0.421058823,0.578941177
S14000043,S92000003,0.42018303,0.57981697
E14000676,E12000007,0.43223582,0.56776418
E14001019,E12000005,0.41640274,0.58359726
S14000010,S92000003,0.416221328,0.583778672
E14000600,E12000009,0.412667041,0.587332959
E14000741,E12000007,0.415741752,0.584258248
E14000697,E12000008,0.415663302,0.584336698
E14000908,E12000004,0.414661238,0.585338762
N06000007,N92000002,0.414427509,0.585572491
E14000719,E12000008,0.41202344,0.58797656
N06000014,N92000002,0.411835005,0.588164995
E14000655,E12000007,0.432701715,0.567298285
E14000636,E12000007,0.410745779,0.589254221
E14000832,E12000001,0.410712554,0.589287446
S14000035,S92000003,0.405977597,0.594022403
E14000770,E12000007,0.408444531,0.591555469
E14000953,E12000008,0.407497131,0.592502869
S14000016,S92000003,0.407456334,0.592543666
S14000032,S92000003,0.39662104,0.60337896
E14000864,E12000006,0.405303001,0.594696999
S14000051,S92000003,0.402813083,0.597186917
S14000039,S92000003,0.401324389,0.598675611
S14000054,S92000003,0.399016464,0.600983536
S14000003,S92000003,0.398381266,0.601618734
E14000749,E12000006,0.393087077,0.606912923
E14001041,E12000008,0.396373786,0.603626214
N06000010,N92000002,0.396100068,0.603899932
S14000050,S92000003,0.395023841,0.604976159
S14000040,S92000003,0.394546665,0.605453335
S14000005,S92000003,0.394323969,0.605676031
S14000017,S92000003,0.393928374,0.606071626
S14000058,S92000003,0.39168773,0.60831227
W07000051,W92000004,0.391478544,0.608521456
E14001061,E12000003,0.388206767,0.611793233
S14000011,S92000003,0.387765475,0.612234525
E14000532,E12000002,0.385878,0.614122
E14000934,E12000006,0.384889637,0.615110363
S14000015,S92000003,0.384116704,0.615883296
E14000889,E12000008,0.382533265,0.617466735
E14000808,E12000002,0.38212184,0.61787816
E14000874,E12000008,0.38029241,0.61970759
S14000059,S92000003,0.38005553,0.61994447
S14000045,S92000003,0.379409695,0.620590305
E14000692,E12000007,0.376070133,0.623929867
E14000960,E12000006,0.37832281,0.62167719
S14000047,S92000003,0.377103561,0.622896439
S14000056,S92000003,0.375699018,0.624300982
E14000779,E12000003,0.374228475,0.625771525
N06000011,N92000002,0.370571179,0.629428821
S14000012,S92000003,0.369891249,0.630108751
S14000019,S92000003,0.369324131,0.630675869
E14000807,E12000002,0.363565763,0.636434237
S14000049,S92000003,0.363147835,0.636852165
S14000038,S92000003,0.362034214,0.637965786
S14000042,S92000003,0.359562057,0.640437943
W07000057,W92000004,0.35845443,0.64154557
E14000718,E12000007,0.347292084,0.652707916
E14000564,E12000005,0.398378166,0.601621834
S14000052,S92000003,0.355479443,0.644520557
E14000780,E12000003,0.354060965,0.645939035
S14000020,S92000003,0.353955957,0.646044043
E14000787,E12000007,0.353705046,0.646294954
E14000795,E12000002,0.352616254,0.647383746
S14000053,S92000003,0.347952793,0.652047207
E14000790,E12000007,0.34755182,0.65244818
E14000788,E12000007,0.345920578,0.654079422
E14000882,E12000007,0.34207637,0.65792363
E14000922,E12000003,0.340060651,0.659939349
E14001036,E12000007,0.336548028,0.663451972
E14000562,E12000005,0.421766233,0.578233767
E14001013,E12000007,0.360276604,0.639723396
E14001005,E12000007,0.333158577,0.666841423
N06000018,N92000002,0.331526761,0.668473239
E14000755,E12000008,0.329468448,0.670531552
N06000015,N92000002,0.327561267,0.672438733
E14000873,E12000008,0.325263375,0.674736625
S14000057,S92000003,0.322849138,0.677150862
S14000002,S92000003,0.321431052,0.678568948
W07000050,W92000004,0.320145785,0.679854215
E14000919,E12000003,0.319119726,0.680880274
E14000547,E12000009,0.317245489,0.682754511
S14000033,S92000003,0.299749139,0.700250861
E14000615,E12000007,0.314817703,0.685182297
E14000726,E12000007,0.313136338,0.686863662
E14000768,E12000007,0.312045861,0.687954139
E14000703,E12000007,0.311007869,0.688992131
E14000555,E12000007,0.308583952,0.691416048
N06000003,N92000002,0.305144088,0.694855912
E14001040,E12000007,0.273497173,0.726502827
E14000674,E12000007,0.290959798,0.709040202
E14000629,E12000007,0.290990556,0.709009444
S14000026,S92000003,0.313807276,0.686192724
S14000029,S92000003,0.264222213,0.735777787
E14000896,E12000007,0.286856313,0.713143687
E14000764,E12000007,0.261857807,0.738142193
S14000034,S92000003,0.268315183,0.731684817
E14000639,E12000007,0.280536728,0.719463272
S14000025,S92000003,0.263636051,0.736363949
E14000887,E12000007,0.277642331,0.722357669
S14000022,S92000003,0.302880115,0.697119885
E14000793,E12000002,0.27300662,0.72699338
S14000018,S92000003,0.268681963,0.731318037
E14000750,E12000007,0.275974688,0.724025312
E14000617,E12000006,0.262648857,0.737351143
E14000553,E12000007,0.260503273,0.739496727
N06000004,N92000002,0.259433811,0.740566189
